CCAA,cod_ine,date,total
Total,0,2020-03-21,13282
Total,0,2020-03-22,15554
Total,0,2020-03-23,18374
Total,0,2020-03-24,22762
Total,0,2020-03-25,26960
Total,0,2020-03-26,31912
Total,0,2020-03-27,36293
Total,0,2020-03-28,40630
Total,0,2020-03-29,43397
Andalucía,1,2020-03-21,605
Andalucía,1,2020-03-22,724
Andalucía,1,2020-03-23,865
Andalucía,1,2020-03-24,1132
Andalucía,1,2020-03-25,1433
Andalucía,1,2020-03-26,1626
Andalucía,1,2020-03-27,1843
Andalucía,1,2020-03-28,2106
Andalucía,1,2020-03-29,2294
Aragón,2,2020-03-21,192
Aragón,2,2020-03-22,241
Aragón,2,2020-03-23,298
Aragón,2,2020-03-24,384
Aragón,2,2020-03-25,459
Aragón,2,2020-03-26,562
Aragón,2,2020-03-27,693
Aragón,2,2020-03-28,835
Aragón,2,2020-03-29,835
Asturias,3,2020-03-21,133
Asturias,3,2020-03-22,171
Asturias,3,2020-03-23,194
Asturias,3,2020-03-24,224
Asturias,3,2020-03-25,263
Asturias,3,2020-03-26,300
Asturias,3,2020-03-27,339
Asturias,3,2020-03-28,408
Asturias,3,2020-03-29,466
Baleares,4,2020-03-21,60
Baleares,4,2020-03-22,79
Baleares,4,2020-03-23,87
Baleares,4,2020-03-24,127
Baleares,4,2020-03-25,164
Baleares,4,2020-03-26,205
Baleares,4,2020-03-27,237
Baleares,4,2020-03-28,283
Baleares,4,2020-03-29,345
Canarias,5,2020-03-21,139
Canarias,5,2020-03-22,150
Canarias,5,2020-03-23,172
Canarias,5,2020-03-24,207
Canarias,5,2020-03-25,235
Canarias,5,2020-03-26,279
Canarias,5,2020-03-27,328
Canarias,5,2020-03-28,377
Canarias,5,2020-03-29,425
Cantabria,6,2020-03-21,92
Cantabria,6,2020-03-22,116
Cantabria,6,2020-03-23,157
Cantabria,6,2020-03-24,200
Cantabria,6,2020-03-25,241
Cantabria,6,2020-03-26,300
Cantabria,6,2020-03-27,355
Cantabria,6,2020-03-28,406
Cantabria,6,2020-03-29,449
Castilla y León,7,2020-03-21,575
Castilla y León,7,2020-03-22,709
Castilla y León,7,2020-03-23,860
Castilla y León,7,2020-03-24,1057
Castilla y León,7,2020-03-25,1244
Castilla y León,7,2020-03-26,1515
Castilla y León,7,2020-03-27,1791
Castilla y León,7,2020-03-28,2063
Castilla y León,7,2020-03-29,2408
Castilla-La Mancha,8,2020-03-21,635
Castilla-La Mancha,8,2020-03-22,838
Castilla-La Mancha,8,2020-03-23,1547
Castilla-La Mancha,8,2020-03-24,1826
Castilla-La Mancha,8,2020-03-25,2162
Castilla-La Mancha,8,2020-03-26,2162
Castilla-La Mancha,8,2020-03-27,2707
Castilla-La Mancha,8,2020-03-28,2977
Castilla-La Mancha,8,2020-03-29,3018
Cataluña,9,2020-03-21,1681
Cataluña,9,2020-03-22,1681
Cataluña,9,2020-03-23,1681
Cataluña,9,2020-03-24,3599
Cataluña,9,2020-03-25,5434
Cataluña,9,2020-03-26,7439
Cataluña,9,2020-03-27,8545
Cataluña,9,2020-03-28,9900
Cataluña,9,2020-03-29,10688
C. Valenciana,10,2020-03-21,476
C. Valenciana,10,2020-03-22,590
C. Valenciana,10,2020-03-23,702
C. Valenciana,10,2020-03-24,917
C. Valenciana,10,2020-03-25,1071
C. Valenciana,10,2020-03-26,1278
C. Valenciana,10,2020-03-27,1422
C. Valenciana,10,2020-03-28,1694
C. Valenciana,10,2020-03-29,1874
Extremadura,11,2020-03-21,65
Extremadura,11,2020-03-22,87
Extremadura,11,2020-03-23,131
Extremadura,11,2020-03-24,161
Extremadura,11,2020-03-25,209
Extremadura,11,2020-03-26,241
Extremadura,11,2020-03-27,277
Extremadura,11,2020-03-28,312
Extremadura,11,2020-03-29,313
Galicia,12,2020-03-21,168
Galicia,12,2020-03-22,227
Galicia,12,2020-03-23,270
Galicia,12,2020-03-24,338
Galicia,12,2020-03-25,412
Galicia,12,2020-03-26,503
Galicia,12,2020-03-27,557
Galicia,12,2020-03-28,906
Galicia,12,2020-03-29,1043
Madrid,13,2020-03-21,7388
Madrid,13,2020-03-22,8441
Madrid,13,2020-03-23,9561
Madrid,13,2020-03-24,10443
Madrid,13,2020-03-25,11153
Madrid,13,2020-03-26,12440
Madrid,13,2020-03-27,13580
Madrid,13,2020-03-28,14211
Madrid,13,2020-03-29,14454
Murcia,14,2020-03-21,61
Murcia,14,2020-03-22,78
Murcia,14,2020-03-23,80
Murcia,14,2020-03-24,99
Murcia,14,2020-03-25,127
Murcia,14,2020-03-26,172
Murcia,14,2020-03-27,209
Murcia,14,2020-03-28,231
Murcia,14,2020-03-29,260
Navarra,15,2020-03-21,222
Navarra,15,2020-03-22,288
Navarra,15,2020-03-23,339
Navarra,15,2020-03-24,405
Navarra,15,2020-03-25,506
Navarra,15,2020-03-26,649
Navarra,15,2020-03-27,732
Navarra,15,2020-03-28,827
Navarra,15,2020-03-29,896
País Vasco,16,2020-03-21,654
País Vasco,16,2020-03-22,988
País Vasco,16,2020-03-23,1252
País Vasco,16,2020-03-24,1425
País Vasco,16,2020-03-25,1577
País Vasco,16,2020-03-26,1907
País Vasco,16,2020-03-27,2270
País Vasco,16,2020-03-28,2612
País Vasco,16,2020-03-29,3106
La Rioja,17,2020-03-21,128
La Rioja,17,2020-03-22,134
La Rioja,17,2020-03-23,166
La Rioja,17,2020-03-24,206
La Rioja,17,2020-03-25,254
La Rioja,17,2020-03-26,316
La Rioja,17,2020-03-27,388
La Rioja,17,2020-03-28,458
La Rioja,17,2020-03-29,497
Ceuta,18,2020-03-21,0
Ceuta,18,2020-03-22,0
Ceuta,18,2020-03-23,0
Ceuta,18,2020-03-24,0
Ceuta,18,2020-03-25,2
Ceuta,18,2020-03-26,2
Ceuta,18,2020-03-27,2
Ceuta,18,2020-03-28,2
Ceuta,18,2020-03-29,2
Melilla,19,2020-03-21,8
Melilla,19,2020-03-22,12
Melilla,19,2020-03-23,12
Melilla,19,2020-03-24,12
Melilla,19,2020-03-25,14
Melilla,19,2020-03-26,16
Melilla,19,2020-03-27,18
Melilla,19,2020-03-28,22
Melilla,19,2020-03-29,24
