CCAA,cod_ine,date,total
Total,0,2020-02-27,16
Total,0,2020-02-28,32
Total,0,2020-02-29,44
Total,0,2020-03-01,66
Total,0,2020-03-02,114
Total,0,2020-03-03,150
Total,0,2020-03-04,198
Total,0,2020-03-05,237
Total,0,2020-03-06,365
Total,0,2020-03-07,430
Total,0,2020-03-08,589
Total,0,2020-03-09,999
Total,0,2020-03-10,1622
Total,0,2020-03-11,2128
Total,0,2020-03-12,2950
Total,0,2020-03-13,4209
Total,0,2020-03-14,5753
Total,0,2020-03-15,7753
Total,0,2020-03-16,9191
Total,0,2020-03-17,11178
Total,0,2020-03-18,13716
Total,0,2020-03-19,17147
Total,0,2020-03-20,19980
Total,0,2020-03-21,24926
Total,0,2020-03-22,28572
Total,0,2020-03-23,33089
Total,0,2020-03-24,39673
Total,0,2020-03-25,47610
Total,0,2020-03-26,56188
Total,0,2020-03-27,64059
Total,0,2020-03-28,72248
Andalucía,1,2020-02-27,1
Andalucía,1,2020-02-28,6
Andalucía,1,2020-02-29,8
Andalucía,1,2020-03-01,12
Andalucía,1,2020-03-02,12
Andalucía,1,2020-03-03,13
Andalucía,1,2020-03-04,13
Andalucía,1,2020-03-05,12
Andalucía,1,2020-03-06,21
Andalucía,1,2020-03-07,27
Andalucía,1,2020-03-08,35
Andalucía,1,2020-03-09,54
Andalucía,1,2020-03-10,71
Andalucía,1,2020-03-11,90
Andalucía,1,2020-03-12,115
Andalucía,1,2020-03-13,219
Andalucía,1,2020-03-14,269
Andalucía,1,2020-03-15,437
Andalucía,1,2020-03-16,554
Andalucía,1,2020-03-17,683
Andalucía,1,2020-03-18,859
Andalucía,1,2020-03-19,1008
Andalucía,1,2020-03-20,1287
Andalucía,1,2020-03-21,1515
Andalucía,1,2020-03-22,1725
Andalucía,1,2020-03-23,1961
Andalucía,1,2020-03-24,2471
Andalucía,1,2020-03-25,3010
Andalucía,1,2020-03-26,3406
Andalucía,1,2020-03-27,3793
Andalucía,1,2020-03-28,4277
Aragón,2,2020-02-27,0
Aragón,2,2020-02-28,1
Aragón,2,2020-02-29,1
Aragón,2,2020-03-01,1
Aragón,2,2020-03-02,1
Aragón,2,2020-03-03,1
Aragón,2,2020-03-04,1
Aragón,2,2020-03-05,1
Aragón,2,2020-03-06,6
Aragón,2,2020-03-07,11
Aragón,2,2020-03-08,13
Aragón,2,2020-03-09,13
Aragón,2,2020-03-10,38
Aragón,2,2020-03-11,45
Aragón,2,2020-03-12,64
Aragón,2,2020-03-13,80
Aragón,2,2020-03-14,80
Aragón,2,2020-03-15,147
Aragón,2,2020-03-16,174
Aragón,2,2020-03-17,207
Aragón,2,2020-03-18,226
Aragón,2,2020-03-19,281
Aragón,2,2020-03-20,360
Aragón,2,2020-03-21,424
Aragón,2,2020-03-22,532
Aragón,2,2020-03-23,638
Aragón,2,2020-03-24,758
Aragón,2,2020-03-25,907
Aragón,2,2020-03-26,1116
Aragón,2,2020-03-27,1338
Aragón,2,2020-03-28,1592
Asturias,3,2020-02-27,0
Asturias,3,2020-02-28,0
Asturias,3,2020-02-29,0
Asturias,3,2020-03-01,1
Asturias,3,2020-03-02,1
Asturias,3,2020-03-03,1
Asturias,3,2020-03-04,2
Asturias,3,2020-03-05,5
Asturias,3,2020-03-06,5
Asturias,3,2020-03-07,5
Asturias,3,2020-03-08,7
Asturias,3,2020-03-09,7
Asturias,3,2020-03-10,22
Asturias,3,2020-03-11,32
Asturias,3,2020-03-12,47
Asturias,3,2020-03-13,67
Asturias,3,2020-03-14,92
Asturias,3,2020-03-15,137
Asturias,3,2020-03-16,177
Asturias,3,2020-03-17,193
Asturias,3,2020-03-18,242
Asturias,3,2020-03-19,292
Asturias,3,2020-03-20,344
Asturias,3,2020-03-21,486
Asturias,3,2020-03-22,545
Asturias,3,2020-03-23,594
Asturias,3,2020-03-24,662
Asturias,3,2020-03-25,779
Asturias,3,2020-03-26,841
Asturias,3,2020-03-27,900
Asturias,3,2020-03-28,1004
Baleares,4,2020-02-27,1
Baleares,4,2020-02-28,1
Baleares,4,2020-02-29,2
Baleares,4,2020-03-01,2
Baleares,4,2020-03-02,2
Baleares,4,2020-03-03,2
Baleares,4,2020-03-04,5
Baleares,4,2020-03-05,6
Baleares,4,2020-03-06,6
Baleares,4,2020-03-07,6
Baleares,4,2020-03-08,8
Baleares,4,2020-03-09,11
Baleares,4,2020-03-10,13
Baleares,4,2020-03-11,16
Baleares,4,2020-03-12,22
Baleares,4,2020-03-13,30
Baleares,4,2020-03-14,28
Baleares,4,2020-03-15,28
Baleares,4,2020-03-16,73
Baleares,4,2020-03-17,92
Baleares,4,2020-03-18,112
Baleares,4,2020-03-19,169
Baleares,4,2020-03-20,203
Baleares,4,2020-03-21,246
Baleares,4,2020-03-22,331
Baleares,4,2020-03-23,400
Baleares,4,2020-03-24,478
Baleares,4,2020-03-25,562
Baleares,4,2020-03-26,660
Baleares,4,2020-03-27,755
Baleares,4,2020-03-28,862
Canarias,5,2020-02-27,6
Canarias,5,2020-02-28,6
Canarias,5,2020-02-29,6
Canarias,5,2020-03-01,7
Canarias,5,2020-03-02,7
Canarias,5,2020-03-03,7
Canarias,5,2020-03-04,7
Canarias,5,2020-03-05,8
Canarias,5,2020-03-06,11
Canarias,5,2020-03-07,18
Canarias,5,2020-03-08,17
Canarias,5,2020-03-09,22
Canarias,5,2020-03-10,25
Canarias,5,2020-03-11,37
Canarias,5,2020-03-12,51
Canarias,5,2020-03-13,70
Canarias,5,2020-03-14,90
Canarias,5,2020-03-15,109
Canarias,5,2020-03-16,119
Canarias,5,2020-03-17,148
Canarias,5,2020-03-18,181
Canarias,5,2020-03-19,220
Canarias,5,2020-03-20,287
Canarias,5,2020-03-21,348
Canarias,5,2020-03-22,414
Canarias,5,2020-03-23,481
Canarias,5,2020-03-24,557
Canarias,5,2020-03-25,657
Canarias,5,2020-03-26,784
Canarias,5,2020-03-27,878
Canarias,5,2020-03-28,1025
Cantabria,6,2020-02-27,0
Cantabria,6,2020-02-28,0
Cantabria,6,2020-02-29,0
Cantabria,6,2020-03-01,1
Cantabria,6,2020-03-02,10
Cantabria,6,2020-03-03,10
Cantabria,6,2020-03-04,10
Cantabria,6,2020-03-05,10
Cantabria,6,2020-03-06,10
Cantabria,6,2020-03-07,10
Cantabria,6,2020-03-08,12
Cantabria,6,2020-03-09,12
Cantabria,6,2020-03-10,12
Cantabria,6,2020-03-11,12
Cantabria,6,2020-03-12,16
Cantabria,6,2020-03-13,29
Cantabria,6,2020-03-14,31
Cantabria,6,2020-03-15,51
Cantabria,6,2020-03-16,58
Cantabria,6,2020-03-17,58
Cantabria,6,2020-03-18,68
Cantabria,6,2020-03-19,83
Cantabria,6,2020-03-20,144
Cantabria,6,2020-03-21,215
Cantabria,6,2020-03-22,282
Cantabria,6,2020-03-23,347
Cantabria,6,2020-03-24,425
Cantabria,6,2020-03-25,510
Cantabria,6,2020-03-26,671
Cantabria,6,2020-03-27,810
Cantabria,6,2020-03-28,937
Castilla y León,7,2020-02-27,0
Castilla y León,7,2020-02-28,2
Castilla y León,7,2020-02-29,2
Castilla y León,7,2020-03-01,3
Castilla y León,7,2020-03-02,3
Castilla y León,7,2020-03-03,8
Castilla y León,7,2020-03-04,11
Castilla y León,7,2020-03-05,11
Castilla y León,7,2020-03-06,14
Castilla y León,7,2020-03-07,14
Castilla y León,7,2020-03-08,22
Castilla y León,7,2020-03-09,23
Castilla y León,7,2020-03-10,56
Castilla y León,7,2020-03-11,71
Castilla y León,7,2020-03-12,92
Castilla y León,7,2020-03-13,169
Castilla y León,7,2020-03-14,223
Castilla y León,7,2020-03-15,292
Castilla y León,7,2020-03-16,334
Castilla y León,7,2020-03-17,431
Castilla y León,7,2020-03-18,668
Castilla y León,7,2020-03-19,868
Castilla y León,7,2020-03-20,1147
Castilla y León,7,2020-03-21,1466
Castilla y León,7,2020-03-22,1744
Castilla y León,7,2020-03-23,2055
Castilla y León,7,2020-03-24,2460
Castilla y León,7,2020-03-25,2940
Castilla y León,7,2020-03-26,3488
Castilla y León,7,2020-03-27,4132
Castilla y León,7,2020-03-28,4791
Castilla-La Mancha,8,2020-02-27,0
Castilla-La Mancha,8,2020-02-28,0
Castilla-La Mancha,8,2020-02-29,0
Castilla-La Mancha,8,2020-03-01,1
Castilla-La Mancha,8,2020-03-02,3
Castilla-La Mancha,8,2020-03-03,7
Castilla-La Mancha,8,2020-03-04,12
Castilla-La Mancha,8,2020-03-05,13
Castilla-La Mancha,8,2020-03-06,15
Castilla-La Mancha,8,2020-03-07,15
Castilla-La Mancha,8,2020-03-08,15
Castilla-La Mancha,8,2020-03-09,26
Castilla-La Mancha,8,2020-03-10,39
Castilla-La Mancha,8,2020-03-11,71
Castilla-La Mancha,8,2020-03-12,115
Castilla-La Mancha,8,2020-03-13,194
Castilla-La Mancha,8,2020-03-14,289
Castilla-La Mancha,8,2020-03-15,401
Castilla-La Mancha,8,2020-03-16,567
Castilla-La Mancha,8,2020-03-17,567
Castilla-La Mancha,8,2020-03-18,675
Castilla-La Mancha,8,2020-03-19,801
Castilla-La Mancha,8,2020-03-20,1044
Castilla-La Mancha,8,2020-03-21,1423
Castilla-La Mancha,8,2020-03-22,1819
Castilla-La Mancha,8,2020-03-23,2078
Castilla-La Mancha,8,2020-03-24,2465
Castilla-La Mancha,8,2020-03-25,2780
Castilla-La Mancha,8,2020-03-26,3383
Castilla-La Mancha,8,2020-03-27,3934
Castilla-La Mancha,8,2020-03-28,4512
Cataluña,9,2020-02-27,2
Cataluña,9,2020-02-28,3
Cataluña,9,2020-02-29,5
Cataluña,9,2020-03-01,6
Cataluña,9,2020-03-02,15
Cataluña,9,2020-03-03,15
Cataluña,9,2020-03-04,15
Cataluña,9,2020-03-05,24
Cataluña,9,2020-03-06,24
Cataluña,9,2020-03-07,24
Cataluña,9,2020-03-08,49
Cataluña,9,2020-03-09,75
Cataluña,9,2020-03-10,124
Cataluña,9,2020-03-11,156
Cataluña,9,2020-03-12,260
Cataluña,9,2020-03-13,316
Cataluña,9,2020-03-14,509
Cataluña,9,2020-03-15,715
Cataluña,9,2020-03-16,903
Cataluña,9,2020-03-17,1394
Cataluña,9,2020-03-18,1866
Cataluña,9,2020-03-19,2702
Cataluña,9,2020-03-20,3270
Cataluña,9,2020-03-21,4203
Cataluña,9,2020-03-22,4704
Cataluña,9,2020-03-23,5925
Cataluña,9,2020-03-24,7864
Cataluña,9,2020-03-25,9937
Cataluña,9,2020-03-26,11592
Cataluña,9,2020-03-27,12940
Cataluña,9,2020-03-28,14263
C. Valenciana,10,2020-02-27,2
C. Valenciana,10,2020-02-28,8
C. Valenciana,10,2020-02-29,10
C. Valenciana,10,2020-03-01,15
C. Valenciana,10,2020-03-02,15
C. Valenciana,10,2020-03-03,15
C. Valenciana,10,2020-03-04,19
C. Valenciana,10,2020-03-05,19
C. Valenciana,10,2020-03-06,30
C. Valenciana,10,2020-03-07,30
C. Valenciana,10,2020-03-08,37
C. Valenciana,10,2020-03-09,37
C. Valenciana,10,2020-03-10,50
C. Valenciana,10,2020-03-11,65
C. Valenciana,10,2020-03-12,76
C. Valenciana,10,2020-03-13,94
C. Valenciana,10,2020-03-14,130
C. Valenciana,10,2020-03-15,409
C. Valenciana,10,2020-03-16,409
C. Valenciana,10,2020-03-17,541
C. Valenciana,10,2020-03-18,726
C. Valenciana,10,2020-03-19,921
C. Valenciana,10,2020-03-20,1105
C. Valenciana,10,2020-03-21,1363
C. Valenciana,10,2020-03-22,1604
C. Valenciana,10,2020-03-23,1901
C. Valenciana,10,2020-03-24,2167
C. Valenciana,10,2020-03-25,2616
C. Valenciana,10,2020-03-26,3200
C. Valenciana,10,2020-03-27,3532
C. Valenciana,10,2020-03-28,4034
Extremadura,11,2020-02-27,0
Extremadura,11,2020-02-28,0
Extremadura,11,2020-02-29,0
Extremadura,11,2020-03-01,4
Extremadura,11,2020-03-02,6
Extremadura,11,2020-03-03,6
Extremadura,11,2020-03-04,6
Extremadura,11,2020-03-05,6
Extremadura,11,2020-03-06,6
Extremadura,11,2020-03-07,6
Extremadura,11,2020-03-08,6
Extremadura,11,2020-03-09,7
Extremadura,11,2020-03-10,8
Extremadura,11,2020-03-11,9
Extremadura,11,2020-03-12,19
Extremadura,11,2020-03-13,39
Extremadura,11,2020-03-14,66
Extremadura,11,2020-03-15,95
Extremadura,11,2020-03-16,111
Extremadura,11,2020-03-17,153
Extremadura,11,2020-03-18,194
Extremadura,11,2020-03-19,241
Extremadura,11,2020-03-20,297
Extremadura,11,2020-03-21,354
Extremadura,11,2020-03-22,384
Extremadura,11,2020-03-23,493
Extremadura,11,2020-03-24,636
Extremadura,11,2020-03-25,742
Extremadura,11,2020-03-26,969
Extremadura,11,2020-03-27,1231
Extremadura,11,2020-03-28,1394
Galicia,12,2020-02-27,0
Galicia,12,2020-02-28,0
Galicia,12,2020-02-29,0
Galicia,12,2020-03-01,0
Galicia,12,2020-03-02,0
Galicia,12,2020-03-03,0
Galicia,12,2020-03-04,1
Galicia,12,2020-03-05,1
Galicia,12,2020-03-06,3
Galicia,12,2020-03-07,3
Galicia,12,2020-03-08,5
Galicia,12,2020-03-09,6
Galicia,12,2020-03-10,22
Galicia,12,2020-03-11,39
Galicia,12,2020-03-12,35
Galicia,12,2020-03-13,85
Galicia,12,2020-03-14,115
Galicia,12,2020-03-15,195
Galicia,12,2020-03-16,245
Galicia,12,2020-03-17,292
Galicia,12,2020-03-18,341
Galicia,12,2020-03-19,453
Galicia,12,2020-03-20,578
