CCAA,cod_ine,date,total
Total,0,2020-03-03,0
Total,0,2020-03-04,1
Total,0,2020-03-05,3
Total,0,2020-03-06,5
Total,0,2020-03-07,8
Total,0,2020-03-08,17
Total,0,2020-03-09,17
Total,0,2020-03-10,35
Total,0,2020-03-11,47
Total,0,2020-03-12,84
Total,0,2020-03-13,120
Total,0,2020-03-14,136
Total,0,2020-03-15,288
Total,0,2020-03-16,309
Total,0,2020-03-17,491
Total,0,2020-03-18,598
Total,0,2020-03-19,767
Total,0,2020-03-20,1002
Total,0,2020-03-21,1326
Total,0,2020-03-22,1720
Total,0,2020-03-23,2182
Total,0,2020-03-24,2696
Total,0,2020-03-25,3434
Total,0,2020-03-26,4089
Total,0,2020-03-27,4858
Total,0,2020-03-28,5690
Andalucía,1,2020-03-03,0
Andalucía,1,2020-03-04,0
Andalucía,1,2020-03-05,0
Andalucía,1,2020-03-06,0
Andalucía,1,2020-03-07,0
Andalucía,1,2020-03-08,0
Andalucía,1,2020-03-09,0
Andalucía,1,2020-03-10,0
Andalucía,1,2020-03-11,0
Andalucía,1,2020-03-12,0
Andalucía,1,2020-03-13,0
Andalucía,1,2020-03-14,2
Andalucía,1,2020-03-15,6
Andalucía,1,2020-03-16,7
Andalucía,1,2020-03-17,11
Andalucía,1,2020-03-18,19
Andalucía,1,2020-03-19,23
Andalucía,1,2020-03-20,30
Andalucía,1,2020-03-21,40
Andalucía,1,2020-03-22,47
Andalucía,1,2020-03-23,58
Andalucía,1,2020-03-24,87
Andalucía,1,2020-03-25,113
Andalucía,1,2020-03-26,134
Andalucía,1,2020-03-27,144
Andalucía,1,2020-03-28,175
Aragón,2,2020-03-03,0
Aragón,2,2020-03-04,0
Aragón,2,2020-03-05,0
Aragón,2,2020-03-06,1
Aragón,2,2020-03-07,1
Aragón,2,2020-03-08,2
Aragón,2,2020-03-09,2
Aragón,2,2020-03-10,3
Aragón,2,2020-03-11,4
Aragón,2,2020-03-12,6
Aragón,2,2020-03-13,7
Aragón,2,2020-03-14,7
Aragón,2,2020-03-15,7
Aragón,2,2020-03-16,11
Aragón,2,2020-03-17,12
Aragón,2,2020-03-18,13
Aragón,2,2020-03-19,15
Aragón,2,2020-03-20,17
Aragón,2,2020-03-21,22
Aragón,2,2020-03-22,24
Aragón,2,2020-03-23,32
Aragón,2,2020-03-24,37
Aragón,2,2020-03-25,40
Aragón,2,2020-03-26,48
Aragón,2,2020-03-27,58
Aragón,2,2020-03-28,58
Asturias,3,2020-03-03,0
Asturias,3,2020-03-04,0
Asturias,3,2020-03-05,0
Asturias,3,2020-03-06,0
Asturias,3,2020-03-07,0
Asturias,3,2020-03-08,0
Asturias,3,2020-03-09,0
Asturias,3,2020-03-10,0
Asturias,3,2020-03-11,0
Asturias,3,2020-03-12,1
Asturias,3,2020-03-13,1
Asturias,3,2020-03-14,1
Asturias,3,2020-03-15,1
Asturias,3,2020-03-16,1
Asturias,3,2020-03-17,1
Asturias,3,2020-03-18,1
Asturias,3,2020-03-19,1
Asturias,3,2020-03-20,2
Asturias,3,2020-03-21,5
Asturias,3,2020-03-22,8
Asturias,3,2020-03-23,12
Asturias,3,2020-03-24,22
Asturias,3,2020-03-25,25
Asturias,3,2020-03-26,27
Asturias,3,2020-03-27,29
Asturias,3,2020-03-28,33
Baleares,4,2020-03-03,0
Baleares,4,2020-03-04,0
Baleares,4,2020-03-05,0
Baleares,4,2020-03-06,0
Baleares,4,2020-03-07,0
Baleares,4,2020-03-08,0
Baleares,4,2020-03-09,0
Baleares,4,2020-03-10,0
Baleares,4,2020-03-11,0
Baleares,4,2020-03-12,1
Baleares,4,2020-03-13,1
Baleares,4,2020-03-14,1
Baleares,4,2020-03-15,1
Baleares,4,2020-03-16,1
Baleares,4,2020-03-17,1
Baleares,4,2020-03-18,1
Baleares,4,2020-03-19,2
Baleares,4,2020-03-20,2
Baleares,4,2020-03-21,4
Baleares,4,2020-03-22,4
Baleares,4,2020-03-23,10
Baleares,4,2020-03-24,10
Baleares,4,2020-03-25,13
Baleares,4,2020-03-26,17
Baleares,4,2020-03-27,22
Baleares,4,2020-03-28,26
Canarias,5,2020-03-03,0
Canarias,5,2020-03-04,0
Canarias,5,2020-03-05,0
Canarias,5,2020-03-06,0
Canarias,5,2020-03-07,0
Canarias,5,2020-03-08,0
Canarias,5,2020-03-09,0
Canarias,5,2020-03-10,0
Canarias,5,2020-03-11,0
Canarias,5,2020-03-12,0
Canarias,5,2020-03-13,0
Canarias,5,2020-03-14,1
Canarias,5,2020-03-15,1
Canarias,5,2020-03-16,1
Canarias,5,2020-03-17,2
Canarias,5,2020-03-18,3
Canarias,5,2020-03-19,3
Canarias,5,2020-03-20,4
Canarias,5,2020-03-21,7
Canarias,5,2020-03-22,9
Canarias,5,2020-03-23,11
Canarias,5,2020-03-24,16
Canarias,5,2020-03-25,21
Canarias,5,2020-03-26,24
Canarias,5,2020-03-27,27
Canarias,5,2020-03-28,36
Cantabria,6,2020-03-03,0
Cantabria,6,2020-03-04,0
Cantabria,6,2020-03-05,0
Cantabria,6,2020-03-06,0
Cantabria,6,2020-03-07,0
Cantabria,6,2020-03-08,0
Cantabria,6,2020-03-09,0
Cantabria,6,2020-03-10,0
Cantabria,6,2020-03-11,0
Cantabria,6,2020-03-12,0
Cantabria,6,2020-03-13,0
Cantabria,6,2020-03-14,0
Cantabria,6,2020-03-15,0
Cantabria,6,2020-03-16,0
Cantabria,6,2020-03-17,0
Cantabria,6,2020-03-18,1
Cantabria,6,2020-03-19,1
Cantabria,6,2020-03-20,1
Cantabria,6,2020-03-21,2
Cantabria,6,2020-03-22,5
Cantabria,6,2020-03-23,6
Cantabria,6,2020-03-24,9
Cantabria,6,2020-03-25,14
Cantabria,6,2020-03-26,17
Cantabria,6,2020-03-27,21
Cantabria,6,2020-03-28,22
Castilla y León,7,2020-03-03,0
Castilla y León,7,2020-03-04,0
Castilla y León,7,2020-03-05,0
Castilla y León,7,2020-03-06,0
Castilla y León,7,2020-03-07,0
Castilla y León,7,2020-03-08,0
Castilla y León,7,2020-03-09,0
Castilla y León,7,2020-03-10,0
Castilla y León,7,2020-03-11,0
Castilla y León,7,2020-03-12,0
Castilla y León,7,2020-03-13,1
Castilla y León,7,2020-03-14,3
Castilla y León,7,2020-03-15,6
Castilla y León,7,2020-03-16,9
Castilla y León,7,2020-03-17,12
Castilla y León,7,2020-03-18,22
Castilla y León,7,2020-03-19,29
Castilla y León,7,2020-03-20,43
Castilla y León,7,2020-03-21,55
Castilla y León,7,2020-03-22,74
Castilla y León,7,2020-03-23,102
Castilla y León,7,2020-03-24,124
Castilla y León,7,2020-03-25,165
Castilla y León,7,2020-03-26,206
Castilla y León,7,2020-03-27,252
Castilla y León,7,2020-03-28,321
Castilla-La Mancha,8,2020-03-03,0
Castilla-La Mancha,8,2020-03-04,0
Castilla-La Mancha,8,2020-03-05,0
Castilla-La Mancha,8,2020-03-06,0
Castilla-La Mancha,8,2020-03-07,0
Castilla-La Mancha,8,2020-03-08,0
Castilla-La Mancha,8,2020-03-09,0
Castilla-La Mancha,8,2020-03-10,0
Castilla-La Mancha,8,2020-03-11,0
Castilla-La Mancha,8,2020-03-12,1
Castilla-La Mancha,8,2020-03-13,5
Castilla-La Mancha,8,2020-03-14,6
Castilla-La Mancha,8,2020-03-15,10
Castilla-La Mancha,8,2020-03-16,17
Castilla-La Mancha,8,2020-03-17,17
Castilla-La Mancha,8,2020-03-18,28
Castilla-La Mancha,8,2020-03-19,42
Castilla-La Mancha,8,2020-03-20,42
Castilla-La Mancha,8,2020-03-21,84
Castilla-La Mancha,8,2020-03-22,112
