CCAA,cod_ine,date,total
Total,0,2020-03-04,7
Total,0,2020-03-05,9
Total,0,2020-03-06,11
Total,0,2020-03-09,68
Total,0,2020-03-10,100
Total,0,2020-03-11,142
Total,0,2020-03-12,190
Total,0,2020-03-13,272
Total,0,2020-03-16,432
Total,0,2020-03-17,563
Total,0,2020-03-18,774
Total,0,2020-03-19,939
Total,0,2020-03-20,1141
Total,0,2020-03-21,1612
Total,0,2020-03-22,1785
Total,0,2020-03-23,2355
Total,0,2020-03-24,2636
Total,0,2020-03-25,3166
Andalucía,1,2020-03-04,1
Andalucía,1,2020-03-05,1
Andalucía,1,2020-03-06,1
Andalucía,1,2020-03-09,1
Andalucía,1,2020-03-10,1
Andalucía,1,2020-03-11,3
Andalucía,1,2020-03-12,4
Andalucía,1,2020-03-13,8
Andalucía,1,2020-03-16,11
Andalucía,1,2020-03-17,13
Andalucía,1,2020-03-18,21
Andalucía,1,2020-03-19,25
Andalucía,1,2020-03-20,38
Andalucía,1,2020-03-21,53
Andalucía,1,2020-03-22,55
Andalucía,1,2020-03-23,77
Andalucía,1,2020-03-24,102
Andalucía,1,2020-03-25,116
Aragón,2,2020-03-04,0
Aragón,2,2020-03-05,1
Aragón,2,2020-03-06,1
Aragón,2,2020-03-09,1
Aragón,2,2020-03-10,3
Aragón,2,2020-03-11,3
Aragón,2,2020-03-12,3
Aragón,2,2020-03-13,3
Aragón,2,2020-03-16,7
Aragón,2,2020-03-17,9
Aragón,2,2020-03-18,9
Aragón,2,2020-03-19,14
Aragón,2,2020-03-20,28
Aragón,2,2020-03-21,33
Aragón,2,2020-03-22,45
Aragón,2,2020-03-23,52
Aragón,2,2020-03-24,66
Aragón,2,2020-03-25,75
Asturias,3,2020-03-04,1
Asturias,3,2020-03-05,2
Asturias,3,2020-03-06,2
Asturias,3,2020-03-09,2
Asturias,3,2020-03-10,2
Asturias,3,2020-03-11,2
Asturias,3,2020-03-12,2
Asturias,3,2020-03-13,2
Asturias,3,2020-03-16,3
Asturias,3,2020-03-17,5
Asturias,3,2020-03-18,5
Asturias,3,2020-03-19,6
Asturias,3,2020-03-20,7
Asturias,3,2020-03-21,12
Asturias,3,2020-03-22,15
Asturias,3,2020-03-23,22
Asturias,3,2020-03-24,23
Asturias,3,2020-03-25,29
Baleares,4,2020-03-04,0
Baleares,4,2020-03-05,0
Baleares,4,2020-03-06,0
Baleares,4,2020-03-09,0
Baleares,4,2020-03-10,1
Baleares,4,2020-03-11,1
Baleares,4,2020-03-12,2
Baleares,4,2020-03-13,2
Baleares,4,2020-03-16,4
Baleares,4,2020-03-17,4
Baleares,4,2020-03-18,4
Baleares,4,2020-03-19,7
Baleares,4,2020-03-20,10
Baleares,4,2020-03-21,14
Baleares,4,2020-03-22,14
Baleares,4,2020-03-23,27
Baleares,4,2020-03-24,35
Baleares,4,2020-03-25,40
Canarias,5,2020-03-04,0
Canarias,5,2020-03-05,0
Canarias,5,2020-03-06,0
Canarias,5,2020-03-09,0
Canarias,5,2020-03-10,1
Canarias,5,2020-03-11,1
Canarias,5,2020-03-12,3
Canarias,5,2020-03-13,2
Canarias,5,2020-03-16,9
Canarias,5,2020-03-17,13
Canarias,5,2020-03-18,17
Canarias,5,2020-03-19,23
Canarias,5,2020-03-20,25
Canarias,5,2020-03-21,29
Canarias,5,2020-03-22,32
Canarias,5,2020-03-23,32
Canarias,5,2020-03-24,36
Canarias,5,2020-03-25,43
Cantabria,6,2020-03-04,0
Cantabria,6,2020-03-05,0
Cantabria,6,2020-03-06,0
Cantabria,6,2020-03-09,0
Cantabria,6,2020-03-10,0
Cantabria,6,2020-03-11,0
Cantabria,6,2020-03-12,0
Cantabria,6,2020-03-13,0
Cantabria,6,2020-03-16,2
Cantabria,6,2020-03-17,2
Cantabria,6,2020-03-18,3
Cantabria,6,2020-03-19,4
Cantabria,6,2020-03-20,7
Cantabria,6,2020-03-21,9
Cantabria,6,2020-03-22,9
Cantabria,6,2020-03-23,14
Cantabria,6,2020-03-24,16
Cantabria,6,2020-03-25,18
Castilla y León,7,2020-03-04,1
Castilla y León,7,2020-03-05,1
Castilla y León,7,2020-03-06,1
Castilla y León,7,2020-03-09,1
Castilla y León,7,2020-03-10,2
Castilla y León,7,2020-03-11,2
Castilla y León,7,2020-03-12,4
Castilla y León,7,2020-03-13,8
Castilla y León,7,2020-03-16,24
Castilla y León,7,2020-03-17,24
Castilla y León,7,2020-03-18,43
Castilla y León,7,2020-03-19,54
Castilla y León,7,2020-03-20,69
Castilla y León,7,2020-03-21,85
Castilla y León,7,2020-03-22,106
Castilla y León,7,2020-03-23,120
Castilla y León,7,2020-03-24,137
Castilla y León,7,2020-03-25,170
Castilla-La Mancha,8,2020-03-04,1
Castilla-La Mancha,8,2020-03-05,1
Castilla-La Mancha,8,2020-03-06,1
Castilla-La Mancha,8,2020-03-09,2
Castilla-La Mancha,8,2020-03-10,2
Castilla-La Mancha,8,2020-03-11,5
Castilla-La Mancha,8,2020-03-12,9
Castilla-La Mancha,8,2020-03-13,10
Castilla-La Mancha,8,2020-03-16,23
Castilla-La Mancha,8,2020-03-17,23
Castilla-La Mancha,8,2020-03-18,29
Castilla-La Mancha,8,2020-03-19,37
Castilla-La Mancha,8,2020-03-20,53
Castilla-La Mancha,8,2020-03-21,65
Castilla-La Mancha,8,2020-03-22,76
Castilla-La Mancha,8,2020-03-23,142
Castilla-La Mancha,8,2020-03-24,182
Castilla-La Mancha,8,2020-03-25,210
Cataluña,9,2020-03-04,0
Cataluña,9,2020-03-05,0
Cataluña,9,2020-03-06,0
Cataluña,9,2020-03-09,0
Cataluña,9,2020-03-10,0
Cataluña,9,2020-03-11,0
Cataluña,9,2020-03-12,0
Cataluña,9,2020-03-13,25
Cataluña,9,2020-03-16,33
Cataluña,9,2020-03-17,33
Cataluña,9,2020-03-18,33
Cataluña,9,2020-03-19,33
Cataluña,9,2020-03-20,33
Cataluña,9,2020-03-21,298
Cataluña,9,2020-03-22,298
Cataluña,9,2020-03-23,551
Cataluña,9,2020-03-24,551
Cataluña,9,2020-03-25,781
C. Valenciana,10,2020-03-04,0
C. Valenciana,10,2020-03-05,0
C. Valenciana,10,2020-03-06,1
C. Valenciana,10,2020-03-09,1
C. Valenciana,10,2020-03-10,1
C. Valenciana,10,2020-03-11,1
C. Valenciana,10,2020-03-12,2
C. Valenciana,10,2020-03-13,2
C. Valenciana,10,2020-03-16,4
C. Valenciana,10,2020-03-17,27
C. Valenciana,10,2020-03-18,40
C. Valenciana,10,2020-03-19,52
C. Valenciana,10,2020-03-20,71
C. Valenciana,10,2020-03-21,84
C. Valenciana,10,2020-03-22,113
C. Valenciana,10,2020-03-23,138
C. Valenciana,10,2020-03-24,161
C. Valenciana,10,2020-03-25,198
Extremadura,11,2020-03-04,0
Extremadura,11,2020-03-05,0
Extremadura,11,2020-03-06,0
Extremadura,11,2020-03-09,0
Extremadura,11,2020-03-10,0
Extremadura,11,2020-03-11,1
Extremadura,11,2020-03-12,1
Extremadura,11,2020-03-13,1
Extremadura,11,2020-03-16,1
Extremadura,11,2020-03-17,2
Extremadura,11,2020-03-18,3
Extremadura,11,2020-03-19,3
Extremadura,11,2020-03-20,4
Extremadura,11,2020-03-21,6
Extremadura,11,2020-03-22,8
Extremadura,11,2020-03-23,13
Extremadura,11,2020-03-24,20
Extremadura,11,2020-03-25,28
Galicia,12,2020-03-04,0
Galicia,12,2020-03-05,0
Galicia,12,2020-03-06,0
Galicia,12,2020-03-09,0
Galicia,12,2020-03-10,2
Galicia,12,2020-03-11,2
Galicia,12,2020-03-12,2
Galicia,12,2020-03-13,2
Galicia,12,2020-03-16,9
Galicia,12,2020-03-17,9
Galicia,12,2020-03-18,12
Galicia,12,2020-03-19,15
Galicia,12,2020-03-20,19
Galicia,12,2020-03-21,29
Galicia,12,2020-03-22,35
Galicia,12,2020-03-23,47
Galicia,12,2020-03-24,55
Galicia,12,2020-03-25,69
Madrid,13,2020-03-04,2
Madrid,13,2020-03-05,2
Madrid,13,2020-03-06,2
Madrid,13,2020-03-09,53
Madrid,13,2020-03-10,77
Madrid,13,2020-03-11,102
Madrid,13,2020-03-12,135
Madrid,13,2020-03-13,180
Madrid,13,2020-03-16,253
Madrid,13,2020-03-17,340
Madrid,13,2020-03-18,491
Madrid,13,2020-03-19,590
Madrid,13,2020-03-20,678
Madrid,13,2020-03-21,767
Madrid,13,2020-03-22,834
Madrid,13,2020-03-23,942
Madrid,13,2020-03-24,1050
Madrid,13,2020-03-25,1150
Murcia,14,2020-03-04,0
Murcia,14,2020-03-05,0
Murcia,14,2020-03-06,0
Murcia,14,2020-03-09,0
Murcia,14,2020-03-10,0
Murcia,14,2020-03-11,0
Murcia,14,2020-03-12,1
Murcia,14,2020-03-13,1
Murcia,14,2020-03-16,2
Murcia,14,2020-03-17,3
Murcia,14,2020-03-18,4
Murcia,14,2020-03-19,6
Murcia,14,2020-03-20,11
Murcia,14,2020-03-21,14
Murcia,14,2020-03-22,16
Murcia,14,2020-03-23,23
Murcia,14,2020-03-24,26
Murcia,14,2020-03-25,33
Navarra,15,2020-03-04,1
Navarra,15,2020-03-05,1
Navarra,15,2020-03-06,1
Navarra,15,2020-03-09,1
Navarra,15,2020-03-10,2
Navarra,15,2020-03-11,3
Navarra,15,2020-03-12,3
Navarra,15,2020-03-13,4
Navarra,15,2020-03-16,5
Navarra,15,2020-03-17,10
Navarra,15,2020-03-18,10
Navarra,15,2020-03-19,11
Navarra,15,2020-03-20,19
Navarra,15,2020-03-21,25
Navarra,15,2020-03-22,30
Navarra,15,2020-03-23,40
Navarra,15,2020-03-24,45
Navarra,15,2020-03-25,51
País Vasco,16,2020-03-04,0
País Vasco,16,2020-03-05,0
País Vasco,16,2020-03-06,1
País Vasco,16,2020-03-09,5
País Vasco,16,2020-03-10,5
País Vasco,16,2020-03-11,15
País Vasco,16,2020-03-12,18
País Vasco,16,2020-03-13,20
País Vasco,16,2020-03-16,29
País Vasco,16,2020-03-17,33
País Vasco,16,2020-03-18,37
País Vasco,16,2020-03-19,44
País Vasco,16,2020-03-20,53
País Vasco,16,2020-03-21,71
País Vasco,16,2020-03-22,81
País Vasco,16,2020-03-23,92
País Vasco,16,2020-03-24,106
País Vasco,16,2020-03-25,119
La Rioja,17,2020-03-04,0
La Rioja,17,2020-03-05,0
La Rioja,17,2020-03-06,0
La Rioja,17,2020-03-09,1
La Rioja,17,2020-03-10,1
La Rioja,17,2020-03-11,1
La Rioja,17,2020-03-12,1
La Rioja,17,2020-03-13,2
La Rioja,17,2020-03-16,13
